gene_symbol,adrenal gland,bone marrow,brain,breast,colon,heart,kidney,liver,lung,muscle,ovary,palatine tonsil,pancreas,placenta,prostate,retina,salivary gland,skin,small intestine,spleen,testis,thymus gland,thyroid gland,trachea,uterus
PHF14,7.461,23.69,15.4641,23.2446,16.1875,21.9872,33.7855,39.6338,27.8706,10.1149,78.0218,7.4903,13.9813,6.037,16.9131,4.4615,5.1251,29.72,8.004,13.171,6.5646,10.0938,18.7875,4.5449,7.1603
GPR25,12.3236,11.4166,9.28475,6.0725,9.699,12.4936,10.076,11.2709,7.8792,13.1487,6.7055,9.1563,9.1211,15.738,6.1333,7.53,19.3359,11.8895,9.3148,6.4837,4.7676,11.7352,6.6226,11.8783,9.8834
SUV39H2,0.6805,0.8976,1.05945,1.2132,1.6705,0.9358,1.1877,0.6391,1.2453,2.779,2.5125,1.1157,1.8021,1.0998,4.0237,0.9361,0.8543,1.5306,0.944,2.0167,1.988,1.31,1.5172,0.7624,0.728
RPL4,1118.4071,2111.0806,1368.20085,1530.0658,1337.4906,1205.9936,1356.6106,1216.3612,1451.4195,1335.4527,1467.9895,1543.0181,1735.3255,1050.3243,1541.1315,1401.8542,1365.6695,1769.0976,1151.9673,1267.7637,1247.4294,1363.9756,1277.624,1415.9933,1499.2623
TM2D2,180.9313,69.9949,125.6982,124.1262,96.9714,99.2531,202.2997,116.8135,165.8687,90.2031,170.0702,96.1443,98.9242,154.6754,177.6466,196.4145,102.3972,127.9998,130.547,161.716,279.2277,78.0442,186.2495,132.55,150.9038
SLC6A5,1.1784,0.9685,1.46585,0.893,1.1912,2.6422,1.5424,1.3831,1.032,1.1495,0.9605,1.5459,1.3679,1.7848,0.9937,0.9647,1.2678,1.1564,0.7785,1.0857,2.0824,1.9197,1.0718,1.469,1.3542
GCNT1,18.2574,28.9578,17.8271,21.6709,31.5655,12.428,19.1798,11.074,14.4332,10.5526,19.5084,26.8587,17.0381,14.8389,37.7869,22.2383,22.7209,24.6716,47.8305,25.2071,17.1979,29.9772,34.3833,33.2106,27.8578
GLRB,10.9372,1.1643,103.35485,12.7133,4.2165,33.9222,13.3169,3.4275,10.6193,9.9926,6.7966,1.3484,53.095,4.4489,12.6318,12.3742,55.5393,8.2524,4.4241,1.3116,3.267,1.8589,4.2807,10.008,8.3993
ARHGAP32,49.8985,10.7273,120.64755,40.0726,101.1717,8.7037,39.911,22.3717,17.4001,9.9348,42.7583,54.0634,51.07,19.901,42.8944,36.529,46.8099,107.7767,85.8976,15.391,33.806,37.8968,23.4192,72.2815,22.1935
NPSR1,0.724,0.9975,0.89805,1.9041,1.8231,1.1879,1.2146,0.95,0.8524,0.7344,1.0423,0.7327,1.4919,0.7405,0.8111,2.8951,1.2994,0.8481,0.8659,1.7715,1.0734,1.2688,1.817,1.0724,1.6517
FAM117A,41.7801,195.799,18.59685,73.5558,62.7044,50.3001,50.3792,30.0755,34.2709,14.0066,98.2167,96.1519,54.7285,21.3614,43.8018,115.5601,52.3344,57.4699,77.8765,196.5339,190.9639,148.3258,77.8255,69.4374,143.7069
ZNF174,36.7532,14.8347,43.93275,26.4768,27.9462,41.5088,28.1259,15.9441,32.6487,54.4359,49.4327,38.0283,34.1949,31.6831,40.3887,52.6671,34.7254,34.8489,26.8425,56.2807,60.7684,51.8982,35.9533,35.5132,71.0967
POU6F2,2.0036,2.5092,1.0765,1.4351,1.1321,1.3606,1.5034,1.7998,2.314,2.2318,2.8319,2.6441,5.5211,1.0381,1.3062,1.4755,4.9031,2.7169,1.5002,2.0233,0.8575,1.991,1.2242,2.2054,1.5132
AIDA,13.3638,33.4196,26.25605,40.1145,32.9064,37.6877,25.1238,26.8852,54.775,19.9151,29.9055,23.8701,36.0514,12.5488,27.0937,14.6295,11.0468,46.8934,20.9248,25.573,30.4407,12.834,23.172,12.3813,16.0605
NCKAP5,3.2549,3.5111,8.1927,5.6225,3.1304,5.125,8.0117,7.9274,19.795,3.3864,15.4569,4.4533,7.3319,3.2753,3.6646,9.1981,5.1545,9.0575,6.6046,5.4192,1.8009,2.3613,4.2712,3.3478,3.6768
TBC1D10B,153.3856,127.0027,593.14085,84.0198,155.1596,225.2676,118.9634,82.352,97.8065,159.556,92.1755,124.4247,184.3011,274.8103,104.9356,105.9628,1710.1154,181.0184,158.7755,125.2845,105.1114,130.4094,83.7653,152.7255,125.0014
MDFI,11.9438,7.545,11.06965,15.2557,13.8675,10.3424,9.1183,22.9923,12.7204,8.0591,14.2807,9.4511,13.2608,10.5179,13.1085,15.0926,12.6201,14.5105,10.6871,8.6931,5.6904,9.8075,11.7865,13.8851,26.7415
SLC25A25,151.3259,111.3769,120.9491,247.3165,72.7261,23.8529,256.9948,183.4484,65.3805,234.5545,219.4092,108.0252,71.2957,93.9317,84.7799,198.342,81.0733,170.6258,81.4924,97.4835,83.6652,118.6586,77.7169,237.2675,211.2549
GNRH1,2.1846,13.6595,3.447,8.2859,5.7494,7.6584,6.4554,4.392,13.5222,3.8894,21.0496,6.5903,3.2546,1.6771,4.0412,3.2078,2.8228,6.1996,2.5341,8.5096,2.5624,9.2166,6.0691,2.3131,3.8337
EPB41L3,48.7237,90.2824,266.62275,26.8646,64.3446,13.1312,94.1107,12.7158,53.9936,7.3254,21.1646,19.4211,5.3978,43.2471,19.4898,46.4512,3.8076,53.8143,67.3866,24.0175,89.5645,12.5073,13.25,6.9345,14.1412
ARL6IP5,446.978,616.6974,1314.29565,675.5873,757.8076,1139.8841,971.2849,472.259,1112.0594,570.9689,562.9596,491.4621,439.0163,683.9109,796.6104,437.7132,470.8195,824.6811,421.074,712.9043,215.9173,326.8622,734.3262,349.3594,384.6632
PSMD4,92.6268,132.7614,108.7718,131.2673,76.3366,130.7545,63.6243,94.1008,93.3089,251.5991,81.928,98.4291,118.0485,129.7477,79.2012,126.824,89.7175,93.8011,117.4774,83.8081,194.6017,128.7275,71.8458,100.0992,127.4958
