gene_symbol,adrenal gland,blood,bone marrow,brain,cecum,ganglia,heart,kidney,liver,lung,lymph nodes,muscle,ovary,palatine tonsil,pancreas,placenta,prostate,salivary gland,skin,testis,thymus gland,thyroid gland,tongue,trachea,uterus
IQGAP2,62.7453,204.8607,46.5337,30.0578263157895,56.5424,57.786175,27.78935,56.6149,54.7188,33.1633,83.1291,33.1847,46.4569,40.0836,53.78835,101.0336,57.5219,111.0163,55.1443,46.1796,26.342,107.6025,53.834,48.2629,25.6152
CYP19A1,60.50065,24.0233,13.4811,43.1016684210526,47.2884,95.8608,86.3719,59.6379,56.6116,6.0588,48.7502,80.4068,83.1395,62.1164,42.8465,2913.9717,9.4929,53.8479,48.7801,56.5529,9.2834,40.6871,75.5649,47.3731,45.5374
TPBG,37.59865,43.685,28.8596,90.2899368421053,85.5796,66.61985,58.3314,48.859,24.6636,70.4621,79.032,336.8392,72.1462,69.6033,97.7765,273.5651,98.0406,87.8708,104.4248,61.7214666666667,86.0365,136.0135,102.1702,192.1235,133.1966
COL15A1,259.75495,11.0754,33.9018,27.0827947368421,84.3044,87.450225,106.9016,35.9925,10.1408,60.2197,104.551,41.1211,144.8904,45.201,84.34235,783.1211,99.5111,110.7382,68.5716,125.795366666667,157.9248,95.7485,53.9247,202.432,190.2555
NDUFC1,235.71805,122.9941,153.8915,276.245652631579,57.7024,25.72485,578.6704,611.6639,378.9476,533.1459,158.2719,204.39755,78.1488,182.2027,283.5486,241.6326,530.8659,173.2717,61.3197,420.609633333333,392.6452,297.6162,309.0724,303.1522,143.7152
OTUD4,42.8037,36.9637,23.7821,39.8539,53.2924,48.99715,25.70795,31.8925,31.6153,26.7091,33.5054,47.55805,41.4126,42.2501,35.38905,40.4667,33.0084,54.9547,46.2652,53.0727666666667,31.9504,46.4191,34.3703,40.4245,42.8572
SLF2,31.3457,31.4564,22.6631,45.5785842105263,32.451,27.757075,33.32145,18.8937,11.6492,25.1971,36.0739,30.47,42.2022,28.6723,33.18595,29.8123,22.4586,42.2097,27.2133,44.1703,36.8576,20.0119,32.5509,20.6169,34.833
SEMA4G,52.0674,26.6381,39.1363,46.1797947368421,59.7702,63.292,52.69615,54.7869,52.9407,28.3788,49.2078,48.2185,45.4795,54.7777,54.55695,41.2984,45.4358,60.5789,66.3809,35.8567,33.9685,31.9564,61.4007,43.0006,59.9998
SEC61G,126.3087,193.1916,134.7977,111.495484210526,79.8235,51.355325,124.1017,78.7583,129.1226,113.7074,146.7291,446.4284,186.4717,151.2186,257.30975,189.2721,148.6167,156.4729,93.0372,165.070433333333,216.7271,139.2935,73.5811,199.0001,157.974
RTN1,21.7027,58.7453,20.3145,865.295657894737,65.0171,103.947975,30.44075,21.3073,21.1247,44.127,29.0338,13.7101,27.1612,22.2879,67.1976,26.7088,66.4173,23.9142,17.4875,26.6856,10.2713,31.4559,17.2929,77.8599,18.0109
