gene_symbol,adipose tissue,adrenal gland,brain,breast,colon,heart,kidney,liver,lung,lymph nodes,muscle,ovary,prostate,testis,thyroid gland
CRYBG1,29.4052,19.5828,1.0269,39.9444,13.3283,5.295,28.807,18.4029,12.04,19.6678,4.647,7.5461,22.8867,14.0923,7.4438
VNN1,8.0196,2.3499,0.2054,2.1592,0.2962,1.5885,32.4079,226.0923,18.0599,11.2388,2.3235,2.744,3.0516,2.2251,0.7444
VNN2,28.0686,11.7497,0.7189,2.1592,4.4428,2.6475,6.0015,15.7739,106.353,29.97,2.3235,2.744,3.8144,3.7085,0.7444
ACOT13,20.049,8.6164,17.4581,29.1486,20.7329,29.1223,15.6038,60.4665,11.0366,14.985,20.9113,17.1501,15.2578,21.5093,16.3764
SMAP1,18.7124,6.2665,20.5389,8.6366,13.3283,21.1799,7.2018,7.8869,8.0266,8.4291,46.4696,6.86,10.6804,12.6089,7.4438
RPS12,2449.9861,2251.2403,915.0094,1705.7334,2750.0745,1194.0146,1243.5038,2607.9484,3695.2656,4624.7468,2850.9098,3014.99,3411.6409,1576.8534,1460.4775
C6orf62,147.0259,126.8966,130.4222,165.1754,88.8554,100.6043,147.6361,165.6258,133.4429,167.6447,106.8801,181.1052,101.4643,164.6573,142.177
B3GAT2,0.5346,2.3499,39.024,0.6477,0.1481,0.2647,0.2401,0.2629,0.5017,0.9366,0.9294,0.4802,1.5258,2.2251,0.6699
GMNN,9.3562,6.2665,11.2964,11.8754,22.2138,7.9424,19.2047,15.7739,9.03,13.1119,6.9704,7.5461,21.3609,33.3765,17.1208
EYA4,0.802,0.5483,2.0539,0.6477,1.0366,13.2374,7.2018,0.5258,2.0067,0.9366,53.44,2.058,4.5773,3.7085,8.1882
SOBP,10.6928,5.4832,39.024,12.9549,31.0994,29.1223,6.0015,2.629,7.0233,6.5559,46.4696,21.2661,20.598,17.8008,14.8876
NR2E1,0,0,12.3234,0.108,0,0,0,0,0,0,0,0,0,0.0742,0
SNX3,327.4668,242.0436,271.1139,407.0009,513.8804,532.144,278.468,389.0891,361.1989,427.0726,420.5499,323.7942,393.6509,252.9196,306.6854
SLC17A2,0,0,0,0,0,0,1.2003,105.1592,0,0,0,0,0,0.1483,0
HBS1L,16.0392,12.533,35.9431,17.2732,17.7711,29.1223,14.4035,28.9188,11.0366,13.1119,67.3809,13.7201,15.2578,14.0923,19.3539
