gene_symbol,adrenal gland,bone marrow,brain,breast,colon,heart,kidney,liver,lung,muscle,ovary,pancreas,placenta,prostate,salivary gland,skin,small intestine,spleen,stomach,testis,thymus gland,thyroid gland,trachea,urinary bladder,uterus
SCN8A,3.3619,2.3423,4.307475,1.325,1.3427,1.8189,2.516,3.7427,1.1931,3.1441,1.0972,2.3616,1.4239,1.563,2.1627,1.5704,2.159,2.505,1.1313,1.2077,2.5088,2.3442,1.4064,0.7356,1.8596
CACNA2D1,23.8135,13.0581,18.2281,22.7563,17.3935,46.353,24.3209,21.8755,16.9679,90.458,16.3972,37.7259,22.4594,13.8719,29.1422,18.9707,3.4784,22.3068,21.9709,16.4476,27.9554,26.8971,27.366,16.9802,19.2349
SLC17A4,44.3211,80.0469,51.6872625,49.7181,84.16,97.4,64.3367,67.885,36.9184,63.8643,33.404,75.3928,40.194,49.5611,45.9571,57.4774,97.0344,50.6375,34.5342,46.1222,24.5506,65.7621,28.3036,30.5275,35.9128
HAVCR1,24.9341,24.828,14.6672625,15.7854,18.6141,20.6535,48.0428,13.2931,16.8353,20.6986,13.7761,14.6417,17.4109,15.3698,14.3819,7.3496,11.1548,24.5136,7.2641,11.3293,4.5995,8.5133,19.8653,9.7467,14.8184
SLC8A1,6.9853,9.7204,6.0473125,4.8585,12.8976,35.1657,10.7427,3.8718,5.1699,5.9388,7.904,7.2421,7.5296,8.6184,6.398,8.8362,4.6578,10.0997,5.0213,8.2046,6.6504,7.4851,9.3564,12.9344,11.816
IMPG1,0.5603,0.527,2.367725,0.2881,0.8544,1.8189,0.599,1.5487,0.7954,0.786,1.1582,0.9446,0.6472,0.3256,1.2435,0.4397,1.0195,1.2525,0.3573,1.0927,0.5376,0.802,0.9962,1.1034,1.2203
GPR37L1,2.2413,6.7926,8.36965,3.9751,4.2721,5.6914,6.3498,7.2918,3.2478,2.6201,3.8402,15.3501,4.6602,5.2752,6.5421,4.0831,3.7183,5.2487,3.3343,2.1853,4.3606,2.5293,6.3874,6.743,3.661
SLC4A8,2.2973,1.1126,17.2486625,7.259,1.6478,1.0561,1.7971,1.2261,10.8038,0.8515,3.4745,2.1844,1.9417,0.4559,10.5431,1.8217,21.8897,11.9288,1.7863,50.2053,1.3739,0.7403,8.1453,3.6167,1.9177
SLC16A7,52.0535,33.2602,16.1945,19.386,19.4074,60.963,54.9318,23.4565,12.991,16.4737,18.4392,72.2342,8.0258,23.6408,22.3027,50.9444,24.6484,27.8835,45.3112,28.7832,24.3415,18.939,21.6232,20.8727,17.5787
PAX9,23.8135,29.8639,15.9457,22.1802,10.4971,12.7324,20.3673,30.5224,12.0631,21.9431,18.8354,18.3611,16.0517,17.7144,83.3176,16.3324,24.3485,20.8157,12.4442,9.5465,39.4243,20.5429,47.6415,5.9461,21.385
EN2,2.6895,14.522,31.2121,10.658,11.2905,15.9595,13.2387,4.388,8.0863,4.1266,13.5323,10.8041,11.3268,11.9832,4.4335,13.0031,1.5593,6.5012,20.3037,15.2399,18.8161,21.2215,16.0563,3.5554,9.8789
ERN1,85.2243,45.3228,39.02055,45.5125,53.1569,35.2048,57.0883,50.9783,41.4255,58.7551,46.2657,79.8207,47.7667,34.8426,54.9323,41.836,55.0541,49.3254,54.1829,44.5694,60.57,49.3524,41.0197,36.4124,39.69
IAPP,1.681,2.8693,2.104875,2.1892,2.8074,2.6404,1.4976,3.0974,1.1268,2.6201,1.7068,188.0983,1.6181,1.7584,1.5139,2.3242,2.3989,2.8629,1.9649,1.3227,1.7323,1.5423,1.8752,1.5938,2.4407
AOC2,33.4509,49.7146,32.3868375,22.8715,20.567,44.8861,29.2929,48.0745,20.6796,14.0174,24.0777,24.265,26.6665,16.3467,23.357,25.0639,32.1449,34.1759,28.1632,46.8123,22.6988,26.2185,20.3341,16.3672,30.799
KRT75,9.3573,28.4585,17.5321625,29.7272,10.7412,17.7198,28.3345,38.266,17.7632,28.9518,3.2307,17.7707,8.932,23.1198,38.2796,195.109,10.555,28.9869,40.3097,23.3486,37.1544,24.121,61.9398,22.3133,7.9031
HRC,30.033,3.9233,9.9276,2.2468,13.6707,679.2768,11.0822,3.6782,14.7143,310.8717,7.0709,11.7488,3.8188,43.5044,3.0818,3.2037,13.6736,4.1154,5.061,13.9172,12.5441,3.3313,5.8014,15.6316,8.4261
HDC,33.8992,38.9401,19.75615,12.2135,23.6185,26.9904,25.2794,35.4267,46.7279,25.8077,19.1402,41.7996,17.0226,14.0022,8.1101,22.0487,45.3387,29.464,86.1568,28.8695,8.6017,13.2018,31.3508,25.4396,28.4164
ZFP37,13.0554,2.2252,13.9148875,18.2626,11.6567,6.8063,10.3034,12.3251,5.435,6.4847,21.7004,9.092,13.9805,10.6156,3.0278,7.7893,3.8982,5.1294,1.8458,12.997,11.4091,8.3899,6.739,17.1641,5.2881
SMAD6,6.7658,8.6517,8.189875,7.1293,9.0629,11.2362,9.974,2.7748,12.2951,10.9552,15.7876,11.3798,18.2523,10.5016,11.8542,14.4793,2.3539,7.5748,11.2087,4.3419,7.7206,21.7151,9.5517,7.6932,11.5206
RGR,3.9222,25.5892,13.3959125,1.8435,0.9765,6.9823,8.6261,6.2594,10.87,7.7292,6.5833,4.3689,30.0969,1.6933,3.1359,10.4904,2.6388,5.0697,3.513,20.4732,7.3473,7.4646,21.1545,5.5783,11.9128
ACO1,391.4937,109.3837,148.181075,107.905,161.7898,220.2061,458.0842,335.9404,157.6819,137.6193,185.3676,302.2798,150.161,162.1645,202.5899,200.6369,281.3277,113.5021,231.4385,168.5012,111.5229,192.4127,134.5447,201.8618,112.736
IL18RAP,8.1806,101.8885,21.4669125,5.9915,30.0266,33.6793,25.3393,23.037,43.7453,47.3578,18.7135,34.0065,25.1131,21.6219,7.4072,15.0132,14.4532,183.3449,16.4335,22.716,6.3915,20.5429,9.4931,31.447,33.0072
CDKL2,4.6506,11.0086,4.4862875,2.3044,2.2581,4.518,6.1701,4.8397,3.1815,3.0786,3.9012,13.0476,2.9773,4.6891,4.055,3.078,6.417,5.2487,3.632,26.6266,4.3008,3.9482,2.5198,3.9232,5.753
SLC18A1,45.4978,17.6841,16.096625,11.1765,21.9097,7.041,4.1933,9.1632,14.3829,5.1091,15.8486,7.3208,14.2394,12.0484,6.8125,10.8045,7.2566,20.3982,5.3588,17.5402,14.1569,2.9611,15.3531,15.7542,9.8208
NLRP3,3.5674,6.1289,3.098325,2.2084,2.2988,3.4031,2.5958,3.8287,10.7375,2.7947,5.1406,4.0147,3.3657,2.3445,3.4603,1.9892,2.3789,7.3163,3.8901,1.5911,3.0663,2.6527,10.294,3.821,2.3051
ASS1,486.4114,30.9179,127.545275,179.7457,250.7711,307.9834,724.6559,2737.8564,104.1934,170.8288,302.1595,153.9738,194.0443,239.9904,245.1408,205.5366,398.5725,95.1318,122.5963,203.6966,79.3861,307.157,349.2535,239.9292,124.242
CELA2B,13.6157,25.2965,5.61875,7.4318,8.3611,9.7987,2.5759,10.4538,13.1236,2.2926,1.9506,2638.6307,2.2006,5.0799,4.9742,8.4175,4.7977,3.1611,20.1251,9.2014,4.0619,7.2178,9.2001,2.1455,9.2978
MED6,15.2593,15.4394,14.118125,21.3736,29.9452,21.0838,17.5119,18.0252,27.1309,22.3798,17.0677,14.3662,16.44,21.5785,7.0468,35.0937,22.5894,19.0065,26.8533,12.5945,27.8957,25.4576,21.2717,28.6068,20.2615
PYY,10.9822,22.0466,14.9146625,11.839,213.5735,9.0359,10.7827,11.2927,8.5171,14.1156,11.856,16.59,14.3365,14.2301,24.6817,19.536,26.8074,18.8772,8.1572,22.9461,19.4135,19.2166,16.7888,12.2601,12.523
PI4KA,76.1471,106.3388,284.549625,108.8844,126.2705,60.7283,91.9523,97.9557,96.2397,89.017,151.8417,48.412,107.4428,107.5887,66.9352,102.2657,125.2211,101.633,129.6818,166.5459,242.6385,107.835,75.7693,122.907,99.196
CSF1,36.3786,23.3202,20.34295,21.9353,24.7933,44.226,25.6238,19.6492,37.2829,26.0697,42.5321,18.4349,26.6342,28.4276,30.9535,15.9241,21.4099,30.463,27.3147,10.0209,17.1735,32.7422,30.1495,37.0407,19.9322
CC2D1A,21.3201,17.0546,21.296125,22.7563,26.0444,16.3556,14.5716,9.9537,14.1675,13.9191,15.4524,9.9924,8.4142,13.2858,27.2364,17.0862,32.8046,9.6623,23.0575,19.6537,12.574,16.5639,17.2283,13.5014,14.2373
POU3F2,2.0171,1.8738,15.521125,2.5349,0.9154,4.2246,2.8155,5.6141,2.6512,8.2532,1.8896,4.8412,2.0712,8.6618,2.0005,2.5127,1.7992,12.6445,1.0718,2.8179,5.4955,8.2665,2.637,2.8811,12.1453
CSF2RA,8.769,33.143,9.1731,8.2672,10.3751,7.9064,10.8576,17.3584,15.3606,10.12,5.166,12.9886,68.4301,4.0541,11.3947,5.2609,8.7559,20.0999,8.1572,6.2972,9.5574,12.0605,8.995,6.2526,9.4286
SLC25A11,136.5493,122.0027,130.287425,84.083,99.4174,175.4666,165.7837,123.09,89.479,121.8989,86.832,94.5805,100.8409,88.2136,102.3493,98.1512,91.9368,92.0601,100.8636,37.4958,76.4891,106.046,78.9922,87.5674,88.0677
NRAP,9.6375,23.3641,7.3276375,10.1395,3.4787,390.7147,9.1653,12.5187,15.2446,1284.8183,10.8502,3.6014,11.521,90.3953,26.1145,14.1338,1.7392,6.9783,1.429,12.7095,0.4779,13.3251,15.0015,14.1604,11.3317
ZFP30,15.2967,5.0944,37.652875,50.5247,21.9707,22.7071,25.6388,21.0366,16.3713,26.8557,27.0645,8.3245,42.3946,23.9665,11.3001,24.3729,4.7977,36.323,15.5404,35.138,22.1612,27.3906,20.5099,32.1826,29.753
P2RX7,9.5814,28.2243,29.715775,11.983,14.8302,24.1153,6.1102,17.2939,20.0168,16.179,17.5554,8.4426,13.398,2.6702,2.7574,18.2169,5.6973,26.2433,27.0915,12.4219,13.3206,13.9421,17.4041,17.4093,9.937
LEP,1.5689,5.0359,2.5778,3.7447,9.7648,7.3343,0.9585,1.097,1.5907,5.3711,3.8402,1.9483,100.1937,2.8656,6.8125,12.3121,11.5746,1.4315,1.0122,1.4377,3.7632,2.5293,5.0396,15.5703,3.4286
